id,gender,ocp_cd,age
132,1,3.0,3
133,2,3.0,3
134,1,3.0,5
135,2,9.0,3
136,2,9.0,3
137,1,3.0,3
138,2,9.0,5
139,1,3.0,4
140,2,3.0,3
141,2,9.0,5
142,2,9.0,3
143,2,9.0,3
144,1,3.0,3
145,2,3.0,3
146,2,3.0,4
147,2,3.0,3
148,1,9.0,4
149,2,6.0,2
150,1,9.0,3
151,1,4.0,6
152,2,3.0,4
153,2,3.0,4
154,1,3.0,4
155,1,9.0,4
156,2,3.0,4
157,2,9.0,4
158,2,9.0,5
159,2,9.0,4
160,2,3.0,3
161,2,3.0,4
162,2,3.0,6
163,1,9.0,3
164,2,3.0,4
165,2,9.0,4
166,1,3.0,3
167,2,3.0,4
168,1,3.0,4
169,2,3.0,5
170,1,9.0,4
171,2,3.0,4
172,2,3.0,3
173,1,9.0,4
174,2,3.0,3
175,1,3.0,3
176,2,1.0,5
177,1,9.0,3
178,1,3.0,5
179,2,3.0,3
180,2,9.0,4
181,1,9.0,3
182,2,5.0,6
183,1,3.0,4
184,1,3.0,3
185,2,3.0,5
186,2,9.0,3
187,2,9.0,4
188,1,9.0,3
189,1,3.0,3
190,2,4.0,4
191,1,4.0,5
192,1,9.0,3
193,1,9.0,4
194,1,3.0,3
195,2,9.0,3
196,1,9.0,4
197,2,9.0,3
198,2,9.0,3
199,2,2.0,6
200,1,3.0,3
201,1,3.0,4
202,1,9.0,4
203,1,3.0,5
204,2,3.0,3
205,1,3.0,3
206,1,3.0,5
207,1,3.0,4
208,1,13.0,6
209,2,9.0,4
210,1,9.0,6
211,2,3.0,4
212,1,9.0,4
213,1,9.0,3
214,2,3.0,5
215,2,3.0,4
216,1,9.0,3
217,2,1.0,3
218,1,9.0,3
219,1,3.0,5
220,1,9.0,6
221,2,9.0,4
222,1,3.0,3
223,1,9.0,4
224,1,3.0,5
225,2,3.0,3
226,1,3.0,5
227,1,3.0,4
228,1,3.0,3
229,2,9.0,4
230,2,3.0,4
231,1,3.0,4
232,2,3.0,4
233,1,3.0,4
234,1,9.0,5
235,2,3.0,3
236,2,9.0,3
237,2,3.0,3
238,1,9.0,3
239,1,9.0,5
240,1,3.0,4
241,1,9.0,4
242,1,4.0,5
243,2,3.0,5
244,1,9.0,4
245,2,3.0,5
246,1,9.0,4
247,2,3.0,3
248,1,3.0,6
249,1,9.0,4
250,2,3.0,3
251,2,3.0,4
252,2,9.0,4
253,2,9.0,3
254,1,9.0,4
255,2,3.0,4
256,1,3.0,5
257,1,9.0,3
258,2,3.0,3
259,1,9.0,4
260,1,3.0,4
261,1,9.0,6
262,1,4.0,4
263,1,4.0,5
264,1,9.0,5
265,1,3.0,4
266,2,9.0,4
267,1,4.0,4
268,1,3.0,4
269,1,3.0,2
270,1,9.0,4
271,2,9.0,4
272,2,9.0,5
273,1,9.0,4
274,2,9.0,4
275,2,9.0,4
276,2,3.0,3
277,2,3.0,3
278,1,9.0,3
279,2,3.0,3
280,2,3.0,4
281,1,3.0,5
282,2,9.0,4
283,1,9.0,3
284,2,3.0,3
285,2,3.0,4
286,1,9.0,4
287,1,3.0,6
288,1,9.0,3
289,2,3.0,4
290,2,3.0,3
291,1,3.0,3
292,2,9.0,3
293,2,12.0,4
294,1,3.0,4
295,2,3.0,4
296,1,9.0,5
297,2,3.0,3
298,2,3.0,3
299,1,9.0,3
300,1,4.0,4
301,2,9.0,4
302,2,3.0,5
303,1,3.0,3
304,2,3.0,3
305,1,3.0,4
306,2,3.0,4
307,1,9.0,6
308,2,3.0,3
309,1,3.0,4
310,2,7.0,5
311,2,3.0,5
312,2,9.0,3
313,2,3.0,4
314,2,9.0,5
315,2,9.0,4
316,1,3.0,5
317,1,3.0,5
318,1,9.0,4
319,1,3.0,6
320,2,9.0,4
321,2,9.0,4
322,1,3.0,4
323,2,3.0,4
324,1,9.0,4
325,1,9.0,3
326,2,3.0,3
327,1,9.0,3
328,2,3.0,6
329,2,3.0,5
330,2,7.0,3
331,1,3.0,4
332,2,9.0,4
333,1,3.0,3
334,1,9.0,3
335,2,9.0,3
336,1,7.0,4
337,2,4.0,3
338,1,4.0,6
339,2,4.0,5
340,1,3.0,5
341,1,9.0,4
342,2,9.0,3
343,2,9.0,3
344,2,3.0,5
345,2,3.0,3
346,2,3.0,6
347,2,9.0,5
348,1,4.0,6
349,1,9.0,4
350,1,4.0,4
351,1,9.0,4
352,1,9.0,3
353,2,9.0,3
354,2,9.0,4
355,1,9.0,4
356,1,3.0,4
357,2,3.0,3
358,1,3.0,4
359,2,3.0,3
360,2,1.0,3
361,2,9.0,3
362,2,3.0,4
363,2,3.0,4
364,1,3.0,4
365,2,3.0,3
366,1,3.0,3
367,2,3.0,3
368,2,9.0,3
369,1,9.0,4
370,1,3.0,4
371,1,3.0,6
372,2,9.0,3
373,2,3.0,3
374,1,9.0,3
375,1,9.0,6
376,2,3.0,4
377,2,3.0,3
378,1,3.0,4
379,2,3.0,4
380,2,9.0,4
381,2,3.0,3
382,2,9.0,4
383,1,4.0,5
384,1,3.0,4
385,2,9.0,4
386,2,3.0,4
387,2,9.0,3
388,1,9.0,3
389,2,3.0,3
390,2,3.0,5
391,1,1.0,5
392,1,3.0,4
393,1,3.0,3
394,2,9.0,4
395,1,3.0,3
396,2,9.0,4
397,2,3.0,3
398,1,3.0,3
399,2,3.0,5
400,1,3.0,5
401,1,9.0,4
402,1,3.0,4
403,1,3.0,2
404,1,9.0,4
405,2,3.0,4
406,1,3.0,3
407,1,9.0,4
408,2,3.0,4
409,2,9.0,3
410,2,3.0,3
411,1,9.0,5
412,2,9.0,3
413,1,3.0,4
414,2,3.0,5
415,1,9.0,3
416,1,9.0,4
417,1,3.0,3
418,1,9.0,4
419,1,3.0,4
420,1,3.0,5
421,1,13.0,4
422,1,9.0,3
423,1,9.0,3
424,2,3.0,4
425,2,9.0,4
426,2,3.0,5
427,2,9.0,3
428,1,3.0,3
429,2,9.0,3
430,1,9.0,4
431,2,4.0,3
432,2,3.0,2
433,1,3.0,2
434,2,9.0,4
435,2,9.0,4
436,2,3.0,4
437,2,9.0,4
438,2,13.0,5
439,1,9.0,4
440,2,3.0,3
441,1,3.0,6
442,2,3.0,3
443,1,13.0,5
444,1,3.0,4
445,1,9.0,3
446,1,3.0,4
447,2,3.0,4
448,2,3.0,3
449,2,3.0,3
450,2,9.0,4
451,2,3.0,3
452,2,3.0,3
453,2,9.0,4
454,2,3.0,3
455,1,9.0,4
456,2,3.0,4
457,2,9.0,4
458,2,9.0,4
459,1,9.0,3
460,1,9.0,5
461,1,1.0,4
462,2,9.0,6
463,1,3.0,3
464,2,3.0,4
465,1,9.0,5
466,2,3.0,4
467,1,3.0,6
468,2,3.0,4
469,1,9.0,4
470,1,3.0,6
471,2,9.0,4
472,2,3.0,4
473,1,3.0,5
474,2,4.0,5
475,2,3.0,4
476,1,3.0,4
477,1,9.0,4
478,2,9.0,4
479,1,3.0,4
480,1,9.0,3
481,2,3.0,3
482,2,3.0,3
483,2,1.0,4
484,2,9.0,3
485,1,3.0,5
486,1,9.0,4
487,1,1.0,3
488,2,9.0,4
489,1,3.0,5
490,1,3.0,6
491,1,3.0,4
492,2,1.0,3
493,2,9.0,3
494,2,3.0,3
495,1,9.0,3
496,2,9.0,4
497,1,9.0,3
498,2,9.0,3
499,2,9.0,4
500,2,3.0,4
501,2,9.0,4
502,1,9.0,3
503,2,9.0,3
504,2,3.0,3
505,1,3.0,3
506,2,4.0,5
507,1,3.0,3
508,2,3.0,3
509,2,9.0,4
510,2,9.0,3
511,2,3.0,3
512,1,3.0,4
513,2,9.0,4
514,1,9.0,3
515,1,3.0,3
516,1,9.0,4
517,2,9.0,4
518,1,9.0,5
519,1,3.0,4
520,2,3.0,2
521,2,3.0,4
522,2,4.0,5
523,1,3.0,4
524,2,3.0,3
525,1,3.0,4
526,2,3.0,4
527,1,9.0,3
528,1,3.0,4
529,2,7.0,4
530,2,9.0,4
531,1,9.0,5
532,1,9.0,5
533,1,9.0,5
534,1,9.0,5
535,1,9.0,3
536,2,3.0,3
537,1,9.0,3
538,2,3.0,4
539,1,9.0,5
540,1,9.0,3
541,2,9.0,5
542,2,3.0,4
543,2,9.0,4
544,2,3.0,3
545,1,4.0,4
546,2,7.0,4
547,2,3.0,4
548,2,3.0,4
549,2,9.0,5
550,2,3.0,4
551,2,3.0,3
552,2,3.0,3
553,1,9.0,4
554,1,9.0,4
555,2,3.0,3
556,1,3.0,6
557,2,9.0,4
558,1,9.0,5
559,1,3.0,4
560,1,9.0,5
561,2,9.0,4
562,2,4.0,5
563,1,9.0,4
564,2,9.0,3
565,1,9.0,5
566,2,13.0,4
567,2,9.0,5
568,1,9.0,3
569,1,9.0,3
570,1,9.0,3
571,1,9.0,3
572,2,3.0,3
573,2,2.0,4
574,1,3.0,4
575,1,3.0,3
576,2,3.0,3
577,1,3.0,4
578,1,3.0,3
579,2,3.0,3
580,2,3.0,4
581,2,9.0,3
582,2,3.0,4
583,1,4.0,5
584,1,9.0,4
585,2,3.0,3
586,1,9.0,4
587,1,4.0,5
588,2,7.0,4
589,2,3.0,3
590,1,3.0,3
591,2,9.0,4
592,1,9.0,4
593,1,9.0,3
594,2,9.0,3
595,1,9.0,6
596,1,9.0,4
597,1,9.0,4
598,1,9.0,3
599,2,4.0,5
600,2,3.0,3
601,1,3.0,4
602,1,3.0,4
603,2,3.0,4
604,1,9.0,6
605,2,9.0,3
606,1,4.0,6
607,2,9.0,3
608,2,7.0,3
609,2,9.0,4
610,2,3.0,3
611,2,9.0,3
612,2,9.0,3
613,1,3.0,4
614,2,3.0,4
615,1,3.0,4
616,1,3.0,5
617,1,3.0,4
618,2,3.0,3
619,1,9.0,4
620,2,9.0,4
621,1,3.0,3
622,1,9.0,4
623,1,3.0,6
624,1,3.0,3
625,1,3.0,5
626,2,4.0,4
627,1,3.0,4
628,2,3.0,5
629,1,9.0,5
630,1,9.0,4
631,1,3.0,4
632,1,3.0,3
633,1,9.0,4
634,2,9.0,3
635,1,6.0,3
636,1,9.0,3
637,2,3.0,4
638,1,13.0,4
639,1,3.0,5
640,1,9.0,4
641,1,3.0,3
642,2,3.0,3
643,1,3.0,4
644,2,3.0,2
645,1,9.0,4
646,2,2.0,3
647,2,9.0,4
648,2,9.0,4
649,2,3.0,3
650,1,9.0,4
651,2,3.0,4
652,1,9.0,4
653,1,3.0,4
654,1,9.0,4
655,2,3.0,4
656,2,3.0,3
657,1,3.0,3
658,1,9.0,3
659,2,4.0,4
660,2,3.0,3
661,2,9.0,4
662,1,9.0,4
663,1,7.0,5
664,2,9.0,4
665,2,3.0,3
666,1,9.0,3
667,2,3.0,4
668,1,3.0,4
669,1,3.0,4
670,1,9.0,6
671,1,4.0,4
672,2,9.0,5
673,1,3.0,4
674,1,9.0,3
675,2,9.0,3
676,2,3.0,3
677,1,9.0,4
678,1,3.0,3
679,1,3.0,6
680,1,3.0,4
681,2,9.0,4
682,1,3.0,3
683,2,9.0,4
684,1,9.0,4
685,2,3.0,3
686,1,9.0,5
687,2,9.0,3
688,2,9.0,3
689,2,3.0,5
690,1,3.0,3
691,2,9.0,3
692,1,9.0,3
693,1,3.0,5
694,2,3.0,5
695,2,3.0,4
696,1,9.0,3
697,1,9.0,5
698,2,2.0,2
699,1,3.0,4
700,2,3.0,4
701,2,9.0,4
702,2,3.0,5
703,2,9.0,4
704,1,3.0,3
705,1,9.0,3
706,1,9.0,3
707,1,7.0,3
708,1,3.0,4
709,2,9.0,3
710,1,3.0,6
711,2,9.0,4
712,1,9.0,4
713,2,9.0,3
714,2,3.0,3
715,1,9.0,4
716,2,9.0,4
717,1,1.0,3
718,2,9.0,4
719,2,3.0,5
720,1,9.0,5
721,2,3.0,4
722,1,9.0,3
723,1,3.0,5
724,2,3.0,4
725,2,9.0,5
726,1,3.0,5
727,2,9.0,3
728,1,3.0,5
729,1,9.0,5
730,1,3.0,4
731,2,9.0,5
732,2,3.0,5
733,2,3.0,4
734,2,3.0,4
735,2,3.0,3
736,1,3.0,6
737,2,9.0,3
738,1,9.0,6
739,2,3.0,3
740,2,3.0,4
741,2,9.0,5
742,2,3.0,4
743,1,9.0,3
744,1,3.0,4
745,2,3.0,3
746,2,3.0,3
747,1,3.0,4
748,2,3.0,4
749,2,9.0,4
750,1,9.0,4
751,2,3.0,3
752,2,9.0,5
753,1,9.0,3
754,1,9.0,5
755,1,9.0,5
756,2,9.0,4
757,2,3.0,4
758,1,9.0,3
759,1,3.0,4
760,2,3.0,4
761,1,9.0,4
762,1,13.0,5
763,2,3.0,4
764,2,2.0,3
765,1,4.0,6
766,1,9.0,4
767,1,3.0,3
768,2,9.0,4
769,1,3.0,3
770,1,9.0,4
771,1,3.0,4
772,2,4.0,4
773,1,9.0,4
774,1,7.0,3
775,1,9.0,4
776,2,9.0,4
777,2,9.0,5
778,2,3.0,4
779,1,9.0,4
780,2,3.0,3
781,2,9.0,4
782,1,1.0,6
783,1,3.0,6
784,2,9.0,3
785,1,9.0,4
786,1,3.0,4
787,2,9.0,5
788,2,9.0,3
789,2,9.0,3
790,1,3.0,4
791,1,9.0,3
792,2,3.0,3
793,2,3.0,4
794,1,3.0,4
795,2,9.0,3
796,1,9.0,5
797,1,3.0,4
798,1,3.0,4
799,1,2.0,3
800,2,3.0,4
801,2,3.0,3
802,2,9.0,4
803,2,3.0,2
804,2,3.0,4
805,1,9.0,4
806,1,1.0,4
807,1,3.0,4
808,2,3.0,4
809,2,9.0,3
810,2,9.0,3
811,2,2.0,3
812,1,3.0,3
813,1,9.0,4
814,1,3.0,6
815,2,3.0,3
816,2,9.0,4
817,2,3.0,3
818,2,9.0,3
819,2,3.0,3
820,1,1.0,5
821,2,3.0,4
822,2,9.0,3
823,2,3.0,3
824,2,9.0,3
825,1,3.0,3
826,1,9.0,3
827,1,9.0,3
828,2,3.0,4
829,2,9.0,5
830,1,3.0,4
831,1,4.0,6
832,1,9.0,4
833,1,3.0,3
834,2,9.0,4
835,2,2.0,5
836,2,3.0,4
837,2,9.0,4
838,2,3.0,3
839,1,9.0,3
840,2,3.0,3
841,1,3.0,5
842,1,3.0,4
843,2,9.0,4
844,2,3.0,4
845,2,9.0,4
846,2,9.0,4
847,2,9.0,3
848,2,3.0,5
849,2,3.0,3
850,2,9.0,4
851,1,3.0,5
852,1,9.0,5
853,1,9.0,4
854,1,3.0,4
855,1,9.0,3
856,2,9.0,3
857,2,3.0,4
858,1,9.0,4
859,1,3.0,4
860,2,3.0,4
861,1,9.0,4
862,2,9.0,4
863,2,1.0,4
864,2,3.0,4
865,2,3.0,3
866,2,9.0,5
867,1,7.0,4
868,2,9.0,4
869,2,9.0,3
870,1,9.0,3
871,2,3.0,4
872,1,7.0,4
873,2,9.0,3
874,1,3.0,3
875,1,9.0,4
876,2,3.0,3
877,1,7.0,3
878,2,3.0,4
879,1,13.0,4
880,1,9.0,3
881,2,3.0,4
882,2,3.0,3
883,1,9.0,5
884,2,3.0,4
885,1,3.0,4
886,1,9.0,3
887,2,9.0,3
888,1,3.0,5
889,1,3.0,3
890,1,3.0,4
891,1,4.0,5
892,2,9.0,3
893,1,3.0,4
894,1,3.0,4
895,1,4.0,4
896,1,9.0,4
897,1,3.0,3
898,2,9.0,4
899,1,3.0,6
900,1,9.0,4
901,1,7.0,4
902,2,3.0,3
903,2,3.0,3
904,2,3.0,4
905,1,4.0,4
906,1,9.0,4
907,2,9.0,3
908,2,3.0,5
909,2,3.0,3
910,2,9.0,4
911,2,3.0,5
912,2,4.0,5
913,2,9.0,4
914,2,3.0,4
915,2,3.0,4
916,2,3.0,4
917,1,9.0,4
918,1,9.0,4
919,1,9.0,5
920,1,9.0,5
921,1,3.0,5
922,2,3.0,4
923,2,3.0,4
924,1,3.0,3
925,2,9.0,3
926,2,9.0,3
927,1,4.0,5
928,2,9.0,4
929,2,3.0,4
930,1,3.0,3
931,2,9.0,4
932,1,9.0,5
933,2,3.0,4
934,2,3.0,3
935,2,9.0,3
936,2,3.0,4
937,1,3.0,4
938,2,3.0,3
939,2,1.0,5
940,1,9.0,3
941,2,3.0,4
942,2,9.0,3
943,2,3.0,3
944,2,3.0,3
945,1,3.0,4
946,1,9.0,4
947,2,9.0,3
948,2,3.0,4
949,2,3.0,3
950,2,3.0,3
951,2,3.0,3
952,2,3.0,4
953,2,9.0,5
954,2,3.0,5
955,1,3.0,4
956,1,9.0,4
957,2,3.0,4
958,2,9.0,4
959,2,3.0,3
960,1,3.0,4
961,1,3.0,5
962,1,9.0,5
963,1,9.0,5
964,2,9.0,3
965,2,3.0,4
966,2,9.0,4
967,2,3.0,3
968,1,3.0,5
969,2,3.0,3
970,1,9.0,3
971,2,3.0,4
972,2,3.0,4
973,2,9.0,3
974,1,13.0,4
975,2,9.0,3
976,2,9.0,3
977,1,3.0,4
978,2,3.0,3
979,1,3.0,4
980,1,3.0,5
981,1,9.0,4
982,1,3.0,4
983,2,3.0,5
984,2,3.0,5
985,1,3.0,5
986,2,3.0,4
987,2,4.0,4
988,2,3.0,4
989,2,9.0,4
990,2,3.0,4
991,1,3.0,4
992,2,3.0,5
993,1,9.0,3
994,1,3.0,4
995,2,12.0,4
996,2,3.0,4
997,1,7.0,3
998,2,3.0,4
999,2,3.0,5
1000,1,9.0,3
1001,1,9.0,3
1002,1,3.0,3
1003,1,9.0,4
1004,2,9.0,3
1005,2,3.0,3
1006,2,9.0,3
1007,2,3.0,4
1008,1,3.0,4
1009,1,4.0,3
1010,2,3.0,4
1011,2,9.0,5
1012,2,3.0,3
1013,2,9.0,3
1014,1,9.0,4
1015,1,3.0,3
1016,2,3.0,5
1017,2,9.0,4
1018,1,3.0,4
1019,2,9.0,4
1020,1,3.0,4
1021,1,9.0,2
1022,2,3.0,3
1023,2,3.0,3
1024,2,3.0,3
1025,1,9.0,4
1026,1,9.0,4
1027,1,13.0,4
1028,1,9.0,4
1029,2,9.0,4
1030,2,3.0,3
1031,1,4.0,3
1032,2,9.0,5
1033,2,9.0,3
1034,1,9.0,4
1035,2,3.0,4
1036,2,3.0,3
1037,2,9.0,5
1038,2,3.0,5
1039,1,9.0,3
1040,1,9.0,3
1041,1,9.0,4
1042,1,3.0,4
1043,2,9.0,4
1044,1,9.0,3
1045,1,3.0,4
1046,2,3.0,4
1047,1,3.0,4
1048,2,9.0,3
1049,1,7.0,3
1050,1,3.0,3
1051,2,9.0,3
1052,1,9.0,4
1053,1,2.0,5
1054,1,9.0,4
1055,2,3.0,3
1056,1,9.0,4
1057,1,3.0,4
1058,1,3.0,3
1059,2,9.0,4
1060,2,9.0,4
1061,2,3.0,4
1062,2,3.0,4
1063,2,9.0,5
1064,2,9.0,3
1065,1,3.0,6
1066,2,9.0,4
1067,2,9.0,3
1068,2,9.0,4
1069,2,3.0,3
1070,2,3.0,3
1071,2,3.0,4
1072,1,3.0,3
1073,2,1.0,3
1074,2,9.0,4
1075,2,9.0,3
1076,1,9.0,4
1077,2,3.0,3
1078,2,3.0,4
1079,2,3.0,4
1080,2,3.0,3
1081,2,3.0,4
1082,1,9.0,5
1083,2,3.0,4
1084,1,3.0,3
1085,2,9.0,5
1086,1,3.0,3
1087,2,3.0,4
1088,2,9.0,4
1089,2,3.0,2
1090,2,3.0,5
1091,1,9.0,3
1092,2,9.0,5
1093,2,9.0,3
1094,2,3.0,3
1095,1,3.0,5
1096,1,9.0,3
1097,2,9.0,4
1098,1,3.0,3
1099,1,3.0,4
1100,2,3.0,4
1101,1,3.0,5
1102,1,3.0,4
1103,1,3.0,4
1104,1,9.0,5
1105,2,3.0,3
1106,2,3.0,5
1107,2,3.0,4
1108,2,3.0,4
1109,1,3.0,4
1110,1,3.0,4
1111,1,9.0,3
1112,2,9.0,3
1113,2,9.0,4
1114,1,9.0,3
1115,2,9.0,3
1116,2,9.0,3
1117,1,3.0,4
1118,2,9.0,3
1119,1,3.0,3
1120,2,4.0,4
1121,2,9.0,3
1122,1,9.0,4
1123,1,9.0,4
1124,1,3.0,5
1125,2,1.0,3
1126,1,9.0,5
1127,1,3.0,4
1128,2,9.0,3
1129,2,9.0,3
1130,2,9.0,3
1131,2,9.0,3
1132,2,3.0,4
1133,1,9.0,5
1134,1,9.0,3
1135,1,9.0,4
1136,1,3.0,4
1137,2,9.0,4
1138,1,9.0,5
1139,2,2.0,5
1140,1,9.0,4
1141,2,3.0,4
1142,2,9.0,3
1143,1,9.0,3
1144,1,9.0,3
1145,1,3.0,3
1146,1,9.0,4
1147,1,9.0,3
1148,1,3.0,4
1149,2,3.0,4
1150,2,3.0,4
1151,1,3.0,3
1152,1,9.0,5
1153,1,4.0,5
1154,1,9.0,5
1155,1,3.0,5
1156,1,9.0,4
1157,1,3.0,4
1158,2,3.0,3
1159,1,3.0,4
1160,1,3.0,5
1161,2,3.0,3
1162,1,9.0,5
1163,1,3.0,4
1164,1,3.0,3
1165,2,9.0,4
1166,2,3.0,3
1167,2,9.0,3
1168,2,3.0,3
1169,1,3.0,5
1170,2,4.0,5
1171,2,9.0,3
1172,1,9.0,5
1173,2,3.0,3
1174,1,3.0,4
1175,2,4.0,4
1176,1,9.0,4
1177,2,3.0,4
1178,1,3.0,4
1179,2,9.0,4
1180,1,9.0,3
1181,1,3.0,4
1182,1,9.0,5
1183,1,9.0,4
1184,1,3.0,5
1185,1,3.0,6
1186,1,3.0,3
1187,1,3.0,3
1188,2,9.0,4
1189,1,9.0,3
1190,2,3.0,4
1191,1,3.0,3
1192,1,3.0,4
1193,2,3.0,3
1194,2,3.0,4
1195,1,9.0,4
1196,1,9.0,4
1197,2,9.0,4
1198,2,9.0,3
1199,1,3.0,4
1200,2,3.0,3
1201,1,3.0,3
1202,2,9.0,3
1203,2,3.0,5
1204,2,9.0,4
1205,1,9.0,3
1206,1,9.0,4
1207,2,9.0,3
1208,2,9.0,4
1209,2,9.0,3
1210,2,3.0,4
1211,2,9.0,4
1212,1,9.0,4
1213,2,3.0,3
1214,2,3.0,4
1215,1,9.0,3
1216,2,12.0,4
1217,2,3.0,3
1218,1,9.0,4
1219,1,9.0,3
1220,1,9.0,5
1221,1,2.0,3
1222,1,9.0,3
1223,2,3.0,5
1224,2,9.0,3
1225,2,3.0,4
1226,1,3.0,4
1227,2,3.0,3
1228,1,7.0,4
1229,2,4.0,6
1230,2,12.0,3
1231,1,12.0,3
1232,1,9.0,3
1233,1,3.0,3
1234,2,3.0,3
1235,1,9.0,4
1236,2,3.0,3
1237,1,3.0,4
1238,2,3.0,4
1239,2,9.0,4
1240,2,3.0,3
1241,1,4.0,4
1242,2,3.0,3
1243,2,9.0,3
1244,2,9.0,4
1245,2,4.0,4
1246,1,9.0,4
1247,1,3.0,3
1248,1,3.0,4
1249,2,9.0,5
1250,2,3.0,3
1251,2,4.0,5
1252,2,9.0,3
1253,2,3.0,3
1254,1,9.0,4
1255,2,3.0,3
1256,1,3.0,3
1257,2,9.0,4
1258,2,4.0,6
1259,2,9.0,4
1260,2,9.0,5
1261,2,3.0,5
1262,2,9.0,3
1263,2,3.0,4
1264,2,3.0,4
1265,1,9.0,3
1266,1,3.0,5
1267,2,3.0,3
1268,2,3.0,3
1269,1,9.0,3
1270,1,9.0,3
1271,1,3.0,3
1272,1,2.0,5
1273,2,1.0,3
1274,2,13.0,5
1275,2,3.0,4
1276,1,9.0,3
1277,2,3.0,2
1278,1,3.0,5
1279,1,3.0,5
1280,2,9.0,3
1281,2,1.0,6
1282,1,4.0,5
1283,1,4.0,3
1284,1,3.0,3
1285,2,3.0,4
1286,2,9.0,4
1287,2,3.0,3
1288,1,9.0,3
1289,2,9.0,4
1290,2,3.0,3
1291,2,3.0,4
1292,2,3.0,5
1293,1,3.0,4
1294,1,9.0,4
1295,2,9.0,4
1296,1,9.0,3
1297,1,1.0,3
1298,2,3.0,3
1299,1,3.0,4
1300,1,3.0,4
1301,2,9.0,4
1302,2,9.0,4
1303,1,3.0,6
1304,2,9.0,5
1305,2,3.0,4
1306,2,3.0,5
1307,1,7.0,4
1308,1,3.0,6
1309,2,9.0,3
1310,2,9.0,4
1311,1,9.0,4
1312,1,9.0,5
1313,1,3.0,4
1314,2,9.0,3
1315,2,3.0,3
1316,2,1.0,3
1317,2,9.0,3
1318,2,9.0,3
1319,2,9.0,5
1320,2,3.0,4
1321,1,9.0,5
1322,2,9.0,4
1323,2,3.0,3
1324,1,3.0,4
1325,2,9.0,3
1326,2,9.0,3
1327,1,9.0,3
1328,2,3.0,4
1329,1,9.0,3
1330,1,3.0,4
1331,2,3.0,4
1332,1,9.0,4
1333,1,9.0,4
1334,1,3.0,4
1335,1,3.0,5
1336,2,3.0,3
1337,1,9.0,3
1338,2,3.0,4
1339,2,3.0,4
1340,1,9.0,4
1341,2,3.0,3
1342,2,3.0,4
1343,2,9.0,4
1344,2,3.0,4
1345,1,3.0,4
1346,1,9.0,4
1347,2,9.0,4
1348,1,7.0,4
1349,2,9.0,4
1350,1,3.0,6
1351,1,3.0,4
1352,2,9.0,4
1353,2,7.0,3
1354,2,9.0,3
1355,1,4.0,5
1356,2,3.0,3
1357,2,3.0,4
1358,2,9.0,3
1359,2,3.0,4
1360,1,3.0,4
1361,2,9.0,3
